id,address,name,symbol,decimals
0,0x557465ff5869a1aa8f41ee424c13a04104225494,Bobbi,BOBBI,9
1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18
2,0x6b49c338d4b3144ef4710e9f55864d22a6044d8a,Pepe,Pepe,18
3,0xdf98a5efa2c57c8c7901bc8651c60b86a08370e0,Turbo Mong Coin,TURBOMONG,9
4,0x9094b3563974ad23f4ab0844b6818d5816577aab,Pepe Finance,PE-FI,9
5,0x1ada93df96cef8efad83f9c7c73e6b4364f3af37,Pepega,PEPEGA,9
6,0x370a366f402e2e41cdbbe54ecec12aae0cce1955,TOAD KILLER,TOAD,18
7,0xaf053e6ef35e94af44fd199399552ca0cd37550f,SpongeBob,SpongeBob,9
8,0xf831938caf837cd505de196bbb408d81a06376ab,JEFF,JEFF,18
9,0x587924463a2ebc369593d6502001bf13a39c50ec,Anubepe,APEPE,18
10,0x378e1be15be6d6d1f23cfe7090b6a77660dbf14d,Foxe,FOXE,18
11,0x77478fc850d944c1d830f95da954730cdef15e63,Simba,SIMBA,18
12,0x57ff43280a02d43e1c4a27d95847cdb3f8d1f3eb,RAGE,Rage,18
13,0xbc4214970e41641ad527885d09055ae722383ce5,Probably Nothing,PN,9
14,0x4fd748b79146b5fda980463aba1a2836708cc00a,Fuck Around Find Out,FAFO,18
15,0xdc5ae2855f6b6b3a0d349880e715d752f7e013ff,GMUSSY,GMUSSY,18
16,0x8ea2068f8819e2320c61fefebcde71522e4b1454,Papi,PAPI,9
17,0x9357c21977bd7c8ffbdff8343dcf8ce1e8a15368, YTMND , NEDM ,18
18,0xd293718d1002f6e734859471b67ccbdc5c18399e,Baby Turbo,BabyTurbo,8
19,0x08354c866a6343961921881c89936b394e4e6ea5,Beef for Texas Stakehouse,BEEF,18
20,0x21eead4152d1f773e9032c096fc686fa6a9574b2,FAFO,FUCK AROUND FIND OUT,18
21,0x978fb441fc4cafee77a3aadd4ff34d864b7429e1,Deez Nuts,DN,9
22,0x3ff2d5ccd809c8e83a058f469b7b858327c2e79d,Pepe Ramsay,TWAT,9
23,0x62e942d757f5139b704b8415b52e7f4bfc5564eb,PEPESHIBAFLOKIDOGE,MEMEFAMILY,9
24,0x0d21631852e00d15ad80972205d9b53d934a40a3,Beef for Texas Stakehouse,BEEF,18
25,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6
26,0xeb91f51dc7482a573e6016e7c9004f3291d2644e,FROAKIE THE FROG,FROAKIE,18
27,0xb5294a5dfcca4e287390b2f9bacfebd9f01088f0,PEEPEE,PEEPEE,9
28,0xabb9b10841b865f53aab6f74e8c8de1c642dc17f,TADPOLE,TADPOLE,18
29,0x2334a85cb33ae892cd10db50701559be396cf691, DAENERYS , DAENERYS ,18
30,0x9a97faa3ffeac5e795efafc999f68109e49dc56a,Jepe,JEPE,18
31,0xa706c93422c7236e9a05410a9f957e5861b757ea,Pepe Eggs,pEGGS,9
32,0xeae7ff12c57b0d1cc8f4fbce1431852be493d1c8,Beef for Texas Stakehouse,BEEF,18
33,0x7b16d12415403db4da8a05589e1220455ee245a3,Catto,CATTO,18
34,0x714fc08a73cea428c4b99155052cb279b392877e,Mongoosecoin,MONGOOSECOIN,9
35,0x200b677d23b32e533f0ea96c1d1f6c6cbb91eaf7,Pope the Frog,POPE,9
36,0xcacd9e6ff30bd3519cdf1fd80fea23ac10d76ff6,Turbo Printer,TURBRRR,18
37,0x91736fed6f5a7730d3b8bf3a83f85ee1c2377f76,Bought The Top,TOP,9
38,0xb346df6c0ac0def6e90c66541ae73c8c8e6b1e91,Sniper Pepe  ,SNIPEPE     ,9
39,0x8b5804e995b72b8e7cb8bbcd2b8df2c703e3302d,Matt Furrie,MATT,9
40,0x2b36cacea32974b74247b28d950d05c62fb5b5c6,Bobs Burger,BOBS,18
41,0x0edd1f5bd2b9ba4371eb37450cfd2b0b4057c0d3,Pepe Anonymous,PEPANON,9
42,0x7ccba33807dfbb3332b8901d5f13ab7e269bc4a6,pepeWAGMI,PEPEW,18
